DEVICE_ID,STATUS_ID,tStart,tEnd
08,12,2023-02-17 21:37:30,2023-02-18 06:00:00
08,12,2023-02-17 09:51:28,2023-02-17 13:45:32
08,26,2023-02-17 08:30:36,2023-02-17 09:15:16
15,26,2023-02-13 06:00:00,2023-02-13 06:20:45
15,03,2023-02-13 06:20:45,2023-02-14 02:20:37
15,26,2023-02-13 05:15:08,2023-02-13 06:00:00
15,17,2023-02-14 06:21:09,2023-02-14 06:24:08
15,24,2023-02-14 02:20:37,2023-02-14 02:24:58
15,17,2023-02-14 02:24:58,2023-02-14 02:26:03
15,13,2023-02-14 02:26:03,2023-02-14 06:21:09
37,26,2023-02-13 06:00:00,2023-02-13 06:59:06
37,03,2023-02-13 06:59:06,2023-02-14 17:13:28
37,26,2023-02-13 05:28:21,2023-02-13 06:00:00
37,17,2023-02-14 17:59:07,2023-02-14 18:03:45
37,04,2023-02-14 17:13:28,2023-02-14 17:59:07
37,03,2023-02-14 18:03:45,2023-02-17 21:43:08
37,12,2023-02-17 21:43:08,2023-02-17 22:21:21
37,10,2023-02-17 22:21:21,2023-02-18 06:00:00
30,12,2023-02-13 06:00:00,2023-02-13 06:11:59
30,26,2023-02-13 06:11:59,2023-02-13 06:20:27
30,03,2023-02-13 06:20:27,2023-02-18 05:21:56
06,25,2023-02-14 07:34:57,2023-02-14 08:06:44
06,07,2023-02-14 08:06:44,2023-02-14 10:01:42
06,04,2023-02-14 14:13:54,2023-02-14 14:28:09
06,03,2023-02-14 14:44:36,2023-02-15 10:02:59
06,04,2023-02-15 18:41:20,2023-02-15 18:45:47
06,04,2023-02-15 23:07:00,2023-02-15 23:14:28
06,26,2023-02-17 08:18:18,2023-02-17 08:21:07
06,12,2023-02-17 00:09:39,2023-02-17 05:18:07
06,03,2023-02-17 06:25:50,2023-02-17 07:49:33
06,12,2023-02-17 07:49:33,2023-02-17 08:18:18
06,12,2023-02-17 08:21:07,2023-02-18 06:00:00
06,03,2023-02-15 23:20:59,2023-02-16 11:18:25
06,04,2023-02-16 22:27:03,2023-02-16 23:09:22
06,17,2023-02-16 23:09:22,2023-02-16 23:16:08
06,04,2023-02-16 14:07:37,2023-02-16 14:17:01
06,04,2023-02-15 10:02:59,2023-02-15 10:25:48
06,03,2023-02-15 10:25:48,2023-02-15 18:41:20
06,03,2023-02-16 14:17:01,2023-02-16 22:27:03
06,03,2023-02-16 23:16:08,2023-02-17 00:09:39
06,26,2023-02-17 05:18:07,2023-02-17 06:25:50
06,05,2023-02-15 23:14:28,2023-02-15 23:20:59
06,03,2023-02-14 10:01:42,2023-02-14 14:13:54
06,17,2023-02-14 14:28:09,2023-02-14 14:44:36
06,03,2023-02-15 18:45:47,2023-02-15 23:07:00
06,04,2023-02-16 11:18:25,2023-02-16 11:19:33
06,03,2023-02-16 11:19:33,2023-02-16 14:07:37
08,26,2023-02-14 13:00:02,2023-02-14 13:07:14
08,25,2023-02-14 13:07:14,2023-02-14 13:36:22
08,17,2023-02-14 14:05:41,2023-02-14 14:20:48
08,13,2023-02-15 11:53:25,2023-02-17 07:20:47
08,09,2023-02-14 12:33:16,2023-02-14 13:00:02
08,09,2023-02-14 11:21:34,2023-02-14 11:57:19
08,26,2023-02-14 11:57:19,2023-02-14 12:33:16
08,07,2023-02-14 13:36:22,2023-02-14 14:03:33
08,04,2023-02-14 14:03:33,2023-02-14 14:05:41
08,03,2023-02-14 14:20:48,2023-02-15 11:16:06
08,24,2023-02-15 11:16:06,2023-02-15 11:53:25
06,13,2023-02-13 06:00:00,2023-02-13 07:54:57
06,36,2023-02-13 08:07:21,2023-02-13 08:47:50
06,09,2023-02-13 08:47:50,2023-02-13 09:47:11
06,26,2023-02-13 09:47:11,2023-02-13 10:49:29
06,07,2023-02-13 10:49:29,2023-02-13 11:45:26
06,24,2023-02-13 15:30:56,2023-02-13 19:08:53
06,26,2023-02-13 11:45:26,2023-02-13 12:03:43
06,22,2023-02-13 21:19:39,2023-02-14 07:34:57
06,36,2023-02-13 19:29:35,2023-02-13 21:19:39
06,09,2023-02-13 07:54:57,2023-02-13 08:07:21
06,03,2023-02-13 12:03:43,2023-02-13 15:30:56
06,09,2023-02-13 19:08:53,2023-02-13 19:29:35
